Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Afghanistan","Asia/Pacific","AFG","National","AFGt","Total",0.872,0.915,0.959,1.002,1.045,1.088,1.124,1.159,1.194,1.229,1.264,1.316,1.367,1.419,1.470,1.522,1.595,1.669,1.743,1.816,1.890,1.937,1.984,2.031,2.077,2.124,2.268,2.411,2.555,2.698,2.842,2.985,2.515
"Albania","Europe","ALB","National","ALBt","Total",7.355,7.353,7.351,7.349,7.347,7.345,7.627,7.909,8.191,8.472,8.754,8.824,8.888,8.953,9.018,9.083,9.147,9.212,9.277,9.452,9.627,9.802,10.03,10.02,10.01,9.996,9.986,9.977,10.03,10.07,10.12,10.12,10.12
"Algeria","Africa","DZA","National","DZAt","Total",4.615,4.830,5.046,5.262,5.477,5.693,5.876,6.059,6.242,6.425,6.608,6.695,6.783,6.870,6.957,7.045,7.269,7.328,7.386,7.353,7.320,7.287,7.253,7.220,7.187,7.153,7.120,7.087,7.054,7.020,6.987,6.987,6.987
"Andorra","Europe","AND","National","ANDt","Total",,,,,,,,,,,9.806,9.892,9.978,10.07,10.70,10.09,10.41,10.44,10.47,10.50,10.53,10.56,10.59,10.62,10.65,10.57,10.56,10.73,10.91,11.09,11.26,11.44,11.61
"Angola","Africa","AGO","National","AGOt","Total",,,,,,,,,,3.387,3.426,3.465,3.505,3.546,3.586,3.627,3.667,3.708,3.748,3.788,3.829,3.869,3.910,3.950,3.991,5.316,5.417,5.521,5.627,5.735,5.844,5.844,5.844
"Antigua and Barbuda","America","ATG","National","ATGt","Total",,,,,,,,,,,,,,,,9.952,9.998,10.05,10.09,10.14,10.19,10.23,10.28,10.33,10.38,10.42,10.47,10.52,10.53,10.54,10.55,10.55,10.55
"Argentina","America","ARG","National","ARGt","Total",8.126,8.193,8.260,8.328,8.395,8.463,8.530,8.597,8.665,8.732,8.800,8.867,9.391,9.915,10.01,10.10,10.19,10.30,10.41,10.54,10.60,10.70,10.79,10.90,10.91,10.92,10.93,11.02,11.11,11.12,11.14,11.14,11.14
"Armenia","Europe","ARM","National","ARMt","Total",9.782,9.852,9.921,9.991,10.06,10.13,10.20,10.28,10.35,10.42,10.49,10.49,10.56,10.63,10.70,10.77,10.84,10.91,10.98,11.05,11.12,11.20,11.29,11.38,11.48,11.57,11.69,11.19,11.24,11.28,11.33,11.33,11.33
"Australia","Asia/Pacific","AUS","National","AUSt","Total",11.23,11.25,11.27,11.29,11.32,11.34,11.33,11.32,11.31,11.30,11.29,11.34,11.40,11.46,11.51,11.55,11.65,11.71,11.94,11.99,12.03,12.12,12.30,12.02,12.17,12.25,12.35,12.42,12.55,12.66,12.73,12.73,12.73
"Austria","Europe","AUT","National","AUTt","Total",10.20,10.29,10.38,10.47,10.56,10.65,10.74,10.83,10.93,11.02,11.11,11.20,11.29,11.38,11.47,11.56,11.55,11.53,11.47,11.67,11.72,11.71,11.75,11.79,12.01,12.08,12.12,12.16,12.21,12.26,12.31,12.31,12.31
"Azerbaijan","Europe","AZE","National","AZEt","Total",,,,,,9.921,9.986,10.05,10.12,10.18,10.25,10.32,10.38,10.45,10.52,10.58,10.65,10.72,10.73,10.45,10.47,10.47,10.47,10.48,10.48,10.48,10.56,10.55,10.54,10.54,10.56,10.56,10.56
"Bahamas, The","America","BHS","National","BHSt","Total",,,,,,,,,,,11.04,11.12,11.20,11.29,11.37,11.45,11.53,11.62,11.70,11.78,11.86,11.95,12.03,12.12,12.20,12.29,12.38,12.46,12.55,12.64,12.73,12.73,12.73
"Bahrain","Asia/Pacific","BHR","National","BHRt","Total",5.108,5.388,5.682,5.977,6.272,6.567,6.862,7.156,7.451,7.746,8.041,8.335,8.302,8.268,8.234,8.201,8.167,8.133,8.100,8.066,8.032,8.247,8.462,8.677,8.892,9.107,9.322,9.586,10.55,10.80,11.05,11.05,11.05
"Bangladesh","Asia/Pacific","BGD","National","BGDt","Total",3.295,3.399,3.504,3.608,3.712,3.817,3.910,4.002,4.095,4.188,4.281,4.397,4.477,4.557,4.637,4.718,4.798,4.878,4.958,5.038,5.119,5.199,5.302,5.065,5.194,5.986,6.114,6.270,6.386,6.550,7.379,7.379,7.379
"Barbados","America","BRB","National","BRBt","Total",8.369,8.500,8.630,8.761,8.891,9.022,9.016,9.010,9.003,8.997,8.991,9.097,9.202,9.308,9.414,9.519,9.546,9.573,9.600,9.627,9.654,9.662,9.670,9.679,9.687,9.695,9.735,9.774,9.813,9.853,9.892,9.892,9.892
"Belarus","Europe","BLR","National","BLRt","Total",,,,,,9.957,10.04,10.12,10.21,10.30,10.38,10.47,10.56,10.64,10.73,10.82,10.91,11.01,11.10,11.19,11.29,11.38,11.48,11.57,11.67,11.76,11.86,11.95,12.05,12.14,12.24,12.24,12.24
"Belgium","Europe","BEL","National","BELt","Total",9.407,9.547,9.688,9.829,9.969,10.11,10.20,10.28,10.37,10.46,10.54,10.64,10.74,10.84,10.93,11.03,11.05,11.12,11.18,11.32,11.42,11.47,11.50,11.54,11.64,11.89,11.99,12.24,12.31,12.38,12.53,12.53,12.53
"Belize","America","BLZ","National","BLZt","Total",5.451,5.618,5.790,5.963,6.135,6.307,6.479,6.651,6.823,6.995,7.168,7.340,7.512,7.684,7.856,8.028,8.520,9.011,9.503,9.995,10.49,10.17,9.861,9.549,9.236,8.923,8.908,8.893,8.878,8.863,8.848,8.848,8.848
"Benin","Africa","BEN","National","BENt","Total",1.459,1.535,1.615,1.699,1.784,1.868,1.952,2.037,2.121,2.205,2.290,2.374,2.459,2.471,2.484,2.497,2.510,2.522,2.535,2.548,2.561,2.574,2.586,2.599,2.612,2.625,2.637,2.650,2.842,3.034,3.137,3.137,3.137
"Bhutan","Asia/Pacific","BTN","National","BTNt","Total",,,,,,,,,,,,,,,,,,,,,2.360,2.289,2.218,2.586,2.954,3.322,3.690,4.058,4.581,5.170,5.836,5.836,5.836
"Bolivia","America","BOL","National","BOLt","Total",5.994,6.101,6.211,6.322,6.434,6.545,6.657,6.768,6.880,6.991,7.103,7.214,7.152,7.091,7.029,6.967,6.905,7.052,7.200,7.482,7.712,7.943,8.174,8.426,8.677,8.929,9.163,9.397,9.630,9.864,9.828,9.828,9.828
"Bosnia and Herzegovina","Europe","BIH","National","BIHt","Total",,,,,,,,,,,6.120,6.126,6.133,6.140,6.146,6.153,6.160,6.826,6.921,7.016,7.111,7.238,7.890,8.542,9.194,9.292,9.693,9.753,9.812,10.17,10.54,10.54,10.54
"Botswana","Africa","BWA","National","BWAt","Total",5.520,5.758,5.996,6.234,6.472,6.710,6.890,7.070,7.250,7.430,7.610,7.744,7.878,8.012,8.146,8.280,8.398,8.516,8.634,8.752,8.870,9.100,9.330,9.560,9.790,10.02,10.10,10.18,10.26,10.34,10.42,10.42,10.42
"Brazil","America","BRA","National","BRAt","Total",3.685,3.831,3.977,4.123,4.269,4.415,4.587,4.758,4.930,5.101,5.273,5.450,5.627,5.804,5.981,6.150,6.320,6.502,6.671,6.769,6.878,7.006,7.216,7.287,7.379,7.507,7.731,7.852,7.982,8.129,8.278,8.278,8.278
